iter	Passed	Remaining
0	10	5404
1	19	4911
2	28	4742
3	37	4653
4	48	4763
5	57	4705
6	66	4654
7	78	4818
8	85	4691
9	95	4679
10	104	4634
11	114	4639
12	122	4607
13	132	4597
14	141	4588
15	150	4566
16	161	4578
17	171	4591
18	181	4587
19	191	4594
20	200	4569
21	211	4600
22	220	4566
23	230	4574
24	240	4568
25	249	4552
26	259	4545
27	267	4516
28	277	4498
29	285	4478
30	295	4465
31	304	4446
32	313	4430
33	322	4418
34	331	4400
35	340	4384
36	349	4367
37	358	4354
38	367	4340
39	377	4336
40	386	4321
41	395	4313
42	405	4314
43	415	4308
44	425	4306
45	436	4305
46	446	4299
47	458	4314
48	468	4308
49	478	4303
50	487	4295
51	497	4289
52	508	4285
53	517	4276
54	528	4276
55	539	4277
56	551	4289
57	561	4282
58	571	4268
59	580	4255
60	590	4252
61	600	4245
62	610	4234
63	620	4227
64	629	4214
65	639	4207
66	648	4192
67	658	4180
68	667	4169
69	676	4157
70	686	4148
71	695	4134
72	704	4123
73	714	4112
74	723	4100
75	733	4089
76	741	4073
77	750	4060
78	759	4047
79	767	4030
80	776	4016
81	786	4006
82	795	3996
83	804	3986
84	813	3973
85	823	3964
86	833	3954
87	842	3945
88	852	3938
89	861	3926
90	871	3918
91	881	3907
92	890	3897
93	899	3885
94	908	3872
95	918	3865
96	929	3860
97	938	3848
98	947	3839
99	957	3829
100	966	3818
101	975	3807
102	986	3801
103	996	3793
104	1005	3781
105	1015	3774
106	1024	3761
107	1034	3753
108	1043	3743
109	1053	3734
110	1062	3725
111	1075	3726
112	1085	3718
113	1094	3707
114	1104	3696
115	1113	3685
116	1123	3676
117	1132	3666
118	1142	3657
119	1151	3645
120	1160	3634
121	1169	3624
122	1178	3613
123	1188	3602
124	1196	3590
125	1205	3579
126	1214	3568
127	1224	3557
128	1233	3548
129	1243	3540
130	1252	3528
131	1262	3518
132	1271	3509
133	1281	3499
134	1290	3488
135	1299	3478
136	1308	3466
137	1316	3454
138	1326	3446
139	1335	3432
140	1344	3423
141	1353	3411
142	1362	3402
143	1372	3392
144	1381	3381
145	1390	3371
146	1399	3360
147	1408	3350
148	1417	3338
149	1426	3327
150	1435	3316
151	1444	3308
152	1454	3297
153	1467	3296
154	1476	3286
155	1485	3276
156	1496	3269
157	1505	3259
158	1514	3248
159	1524	3240
160	1533	3229
161	1543	3220
162	1553	3212
163	1561	3200
164	1571	3189
165	1580	3180
166	1589	3170
167	1598	3159
168	1608	3150
169	1617	3139
170	1627	3130
171	1635	3119
172	1645	3109
173	1654	3100
174	1664	3090
175	1675	3083
176	1684	3073
177	1693	3063
178	1702	3053
179	1711	3042
180	1721	3033
181	1730	3023
182	1740	3015
183	1749	3004
184	1758	2994
185	1768	2985
186	1777	2974
187	1786	2965
188	1796	2956
189	1805	2946
190	1814	2936
191	1824	2927
192	1834	2918
193	1843	2908
194	1853	2899
195	1862	2889
196	1872	2880
197	1881	2870
198	1891	2860
199	1900	2850
200	1909	2840
201	1918	2829
202	1927	2819
203	1936	2809
204	1945	2799
205	1955	2790
206	1965	2781
207	1974	2771
208	1983	2762
209	1993	2752
210	2002	2743
211	2011	2732
212	2021	2723
213	2030	2713
214	2039	2704
215	2049	2694
216	2058	2684
217	2067	2674
218	2075	2663
219	2086	2655
220	2095	2645
221	2104	2635
222	2114	2626
223	2123	2616
224	2132	2606
225	2141	2595
226	2150	2586
227	2160	2576
228	2169	2567
229	2178	2557
230	2187	2547
231	2197	2538
232	2207	2529
233	2215	2518
234	2224	2508
235	2233	2498
236	2242	2488
237	2252	2479
238	2261	2469
239	2270	2459
240	2279	2449
241	2289	2440
242	2298	2431
243	2307	2421
244	2318	2413
245	2328	2403
246	2337	2394
247	2346	2384
248	2355	2374
249	2364	2364
250	2373	2354
251	2382	2345
252	2391	2335
253	2400	2325
254	2408	2314
255	2418	2304
256	2427	2295
257	2436	2285
258	2445	2275
259	2454	2266
260	2463	2256
261	2473	2247
262	2484	2238
263	2493	2228
264	2502	2219
265	2511	2209
266	2520	2199
267	2529	2189
268	2538	2179
269	2547	2169
270	2556	2160
271	2565	2150
272	2574	2140
273	2582	2130
274	2591	2120
275	2600	2110
276	2609	2101
277	2618	2090
278	2626	2080
279	2635	2070
280	2643	2060
281	2652	2050
282	2661	2041
283	2670	2031
284	2679	2021
285	2688	2011
286	2697	2002
287	2707	1992
288	2715	1982
289	2724	1973
290	2733	1963
291	2743	1953
292	2752	1944
293	2762	1935
294	2771	1926
295	2781	1916
296	2791	1907
297	2800	1898
298	2811	1889
299	2819	1879
300	2828	1870
301	2838	1861
302	2848	1851
303	2857	1842
304	2867	1833
305	2875	1823
306	2884	1813
307	2895	1804
308	2904	1795
309	2913	1785
310	2923	1776
311	2931	1766
312	2940	1757
313	2949	1747
314	2958	1737
315	2966	1727
316	2975	1717
317	2984	1707
318	2992	1697
319	3000	1688
320	3009	1678
321	3017	1668
322	3026	1658
323	3036	1649
324	3044	1639
325	3054	1630
326	3063	1620
327	3071	1610
328	3080	1601
329	3090	1591
330	3098	1582
331	3107	1572
332	3116	1562
333	3125	1553
334	3134	1543
335	3143	1534
336	3152	1524
337	3161	1515
338	3170	1505
339	3179	1496
340	3188	1486
341	3197	1477
342	3206	1467
343	3214	1457
344	3223	1448
345	3232	1438
346	3240	1428
347	3248	1418
348	3257	1409
349	3266	1399
350	3275	1390
351	3284	1381
352	3293	1371
353	3302	1362
354	3311	1352
355	3320	1343
356	3329	1333
357	3337	1323
358	3347	1314
359	3356	1305
360	3364	1295
361	3373	1286
362	3382	1276
363	3391	1267
364	3400	1257
365	3408	1247
366	3417	1238
367	3426	1229
368	3435	1219
369	3443	1209
370	3453	1200
371	3461	1191
372	3470	1181
373	3479	1172
374	3488	1162
375	3497	1153
376	3506	1144
377	3515	1134
378	3524	1125
379	3533	1115
380	3543	1106
381	3552	1097
382	3560	1087
383	3569	1078
384	3578	1068
385	3587	1059
386	3596	1050
387	3605	1040
388	3614	1031
389	3623	1021
390	3632	1012
391	3641	1003
392	3649	993
393	3658	984
394	3667	974
395	3677	965
396	3686	956
397	3695	947
398	3704	937
399	3714	928
400	3722	919
401	3731	909
402	3740	900
403	3749	890
404	3757	881
405	3766	872
406	3775	862
407	3784	853
408	3793	844
409	3802	834
410	3811	825
411	3819	815
412	3828	806
413	3836	797
414	3844	787
415	3853	778
416	3862	768
417	3870	759
418	3879	749
419	3888	740
420	3897	731
421	3905	721
422	3914	712
423	3923	703
424	3933	694
425	3942	684
426	3951	675
427	3960	666
428	3969	656
429	3978	647
430	3987	638
431	3996	629
432	4005	619
433	4014	610
434	4023	601
435	4031	591
436	4041	582
437	4050	573
438	4059	564
439	4067	554
440	4075	545
441	4084	536
442	4093	526
443	4103	517
444	4111	508
445	4120	498
446	4129	489
447	4139	480
448	4148	471
449	4157	461
450	4166	452
451	4175	443
452	4184	434
453	4192	424
454	4201	415
455	4209	406
456	4219	397
457	4228	387
458	4237	378
459	4246	369
460	4255	360
461	4264	350
462	4273	341
463	4281	332
464	4290	322
465	4298	313
466	4307	304
467	4316	295
468	4324	285
469	4332	276
470	4341	267
471	4350	258
472	4359	248
473	4368	239
474	4377	230
475	4386	221
476	4394	211
477	4403	202
478	4412	193
479	4421	184
480	4430	174
481	4439	165
482	4449	156
483	4458	147
484	4467	138
485	4476	128
486	4485	119
487	4494	110
488	4503	101
489	4512	92
490	4520	82
491	4529	73
492	4538	64
493	4546	55
494	4554	46
495	4562	36
496	4571	27
497	4581	18
498	4590	9
499	4599	0
